id,position,category,session,question,expected_retrieval,retrieval_executed,retrieval_behavior_ok,expected_sources,retrieved_sources,answer_keyword_score,faithfulness,answer_relevancy,context_relevancy,correctness,overall_score,judge_latency_s,judge_error,judge_reason,hit_at_k,recall_at_k,precision_at_k,mrr,retrieval_count,relevant_count,retrieval_latency_s,generation_latency_s,total_latency_s,wall_latency_s,error
11,11,conversationnel,test_11,Merci,False,False,True,,,,0.0,1.0,0.0,1.0,2.0,4.382270800007973,,La réponse est conversationnelle et ne repose sur aucun contexte fourni.,,,,,0,0,0.0,2.2117387000034796,2.2117387000034796,2.211772700000438,
12,12,smartconnect,test_12,Comment authentifier une requête API ?,True,True,True,03_documentation_api.md,02_faq_problemes_courants.md | 03_documentation_api.md | 08_troubleshooting_guide.md | 08_troubleshooting_guide.md | 01_guide_installation_smartconnect.md | 02_faq_problemes_courants.md,0.5,1.0,1.0,1.0,1.0,5.0,9.498560899999575,,La réponse est directement pertinente à la question et est supportée par le contexte fourni. Elle utilise les informations fournies dans la documentation API pour expliquer comment authentifier une requête API en utilisant l'en-tête Authorization avec un token valide.,1.0,1.0,0.25,0.5,8,6,0.3765886000037426,5.647623500000918,8.916164499998558,8.916211099989596,
13,13,invalide,test_13,???,False,False,True,,,,0.0,0.0,0.0,0.5,1.5,5.95819720000145,,La réponse ne répond pas à la question et n'est pas soutenue par le contexte fourni. Elle ne respecte pas l'expected_behavior et ne contient pas d'answer_keywords.,,,,,0,0,0.0,0.0,1.7030170999933034,1.7030324000079418,
14,14,hors_sujet,test_14,Comment faire une pizza ?,False,False,True,,,,0.0,0.0,0.0,0.0,0.0,4.755554599993047,,La réponse ne répond pas à la question concernant la préparation d'une pizza et utilise des documents non pertinents.,,,,,0,0,0.0,0.0,1.8849926999973832,1.8850163000024622,
15,15,smartconnect,test_15,Quels sont les codes d'erreur de l'API ?,True,True,True,03_documentation_api.md,03_documentation_api.md | 01_guide_installation_smartconnect.md | 06_notes_version.md | 02_faq_problemes_courants.md | 05_procedure_maintenance.md | 07_configuration_reseau.md,1.0,1.0,1.0,1.0,1.0,5.0,6.940468100001453,,La réponse est directement tirée des documents fournis et correspond aux codes d'erreur documentés.,1.0,1.0,0.16666666666666666,1.0,8,6,0.17298959998879582,9.865698100009467,11.918014100010623,11.91804439999396,
16,16,smartconnect,test_16,Comment réinitialiser le mot de passe ?,True,True,True,02_faq_problemes_courants.md,02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 01_guide_installation_smartconnect.md | 03_documentation_api.md | 08_troubleshooting_guide.md,1.0,1.0,1.0,1.0,1.0,5.0,7.807856100000208,,La réponse est directement et précisément liée à la question et est supportée par le contexte fourni. Les documents récupérés sont utiles pour répondre à la question.,1.0,1.0,0.25,1.0,8,6,0.18038220000744332,6.27100770000834,8.718432299996493,8.718459899988375,
17,17,smartconnect,test_17,Comment mettre à jour SmartConnect vers une nouvelle version ?,True,True,True,02_faq_problemes_courants.md,02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 08_troubleshooting_guide.md | 02_faq_problemes_courants.md | 06_notes_version.md | 05_procedure_maintenance.md,0.6666666666666666,1.0,1.0,1.0,1.0,5.0,8.391831899993122,,"La réponse est pertinente, correcte et basée sur le contexte fourni. Elle est également pertinente pour la question posée et est en accord avec l'expected_behavior.",1.0,1.0,0.25,1.0,8,6,0.16090540000004694,17.763340300007258,20.168059699994046,20.16810229999828,
18,18,smartconnect,test_18,Que faire si les notifications email ne partent pas ?,True,True,True,02_faq_problemes_courants.md,02_faq_problemes_courants.md | 05_procedure_maintenance.md | 04_guide_utilisateur_dashboard.md | 01_guide_installation_smartconnect.md | 02_faq_problemes_courants.md | 08_troubleshooting_guide.md,1.0,1.0,1.0,1.0,1.0,5.0,8.884898400006932,,"La réponse est basée sur le contexte fourni et répond directement et précisément à la question. Les documents récupérés sont utiles pour répondre et la réponse est correcte selon le contexte, expected_behavior et answer_keywords.",1.0,1.0,0.2,1.0,8,6,0.1915652999887243,12.886248700000579,15.171441800004686,15.171471199995722,
19,19,smartconnect,test_19,Comment configurer le broker MQTT ?,True,True,True,07_configuration_reseau.md,02_faq_problemes_courants.md | 07_configuration_reseau.md | 07_configuration_reseau.md | 08_troubleshooting_guide.md | 07_configuration_reseau.md | 02_faq_problemes_courants.md,1.0,1.0,1.0,1.0,1.0,5.0,8.961547899991274,,La réponse est basée sur la documentation de configuration réseau et répond directement à la question en détaillant les étapes pour configurer le broker MQTT. Les documents récupérés sont utiles pour répondre à la question.,1.0,1.0,0.3333333333333333,0.5,8,6,0.1790789000078803,24.717025300007663,27.81614310000441,27.8161764999968,
20,20,smartconnect,test_20,Que faire si les devices apparaissent hors ligne ?,True,True,True,08_troubleshooting_guide.md,08_troubleshooting_guide.md | 04_guide_utilisateur_dashboard.md | 05_procedure_maintenance.md | 01_guide_installation_smartconnect.md | 08_troubleshooting_guide.md | 04_guide_utilisateur_dashboard.md,1.0,1.0,1.0,1.0,1.0,5.0,7.941047499989509,,La réponse est basée sur les étapes de dépannage fournies dans le guide de troubleshooting et correspond aux clés de recherche fournies.,1.0,1.0,0.25,1.0,8,6,0.16404679999686778,16.738656500005163,19.3020494000084,19.302077200001804,
21,21,smartconnect,test_21,Comment créer une alerte ?,True,True,True,04_guide_utilisateur_dashboard.md,04_guide_utilisateur_dashboard.md | 02_faq_problemes_courants.md | 02_faq_problemes_courants.md | 04_guide_utilisateur_dashboard.md | 01_guide_installation_smartconnect.md | 03_documentation_api.md,1.0,1.0,1.0,1.0,1.0,5.0,6.985543000002508,,La réponse est basée sur la procédure décrite dans le guide utilisateur du dashboard pour créer une alerte.,1.0,1.0,0.25,1.0,8,6,0.1782223000045633,13.803076900003362,16.22577910000109,16.22580110000854,
22,22,smartconnect,test_22,Comment ajouter un nouvel utilisateur ?,True,True,True,02_faq_problemes_courants.md | 03_documentation_api.md,02_faq_problemes_courants.md | 04_guide_utilisateur_dashboard.md | 02_faq_problemes_courants.md | 01_guide_installation_smartconnect.md | 03_documentation_api.md | 02_faq_problemes_courants.md,1.0,1.0,1.0,1.0,1.0,5.0,7.191069599997718,,La réponse est directement prise dans le contexte fourni et est conforme à l'expected_behavior et aux answer_keywords.,1.0,1.0,0.5,1.0,8,6,0.17424059999757446,9.605841099997633,12.484690600002068,12.484717300001648,
23,23,smartconnect,test_23,Quel endpoint permet de lister les devices ?,True,True,True,03_documentation_api.md,03_documentation_api.md | 03_documentation_api.md | 04_guide_utilisateur_dashboard.md | 04_guide_utilisateur_dashboard.md | 06_notes_version.md | 07_configuration_reseau.md,0.5,1.0,1.0,1.0,1.0,5.0,7.420884200008004,,La réponse est directement prise dans le contexte fourni et est exacte selon le comportement attendu et les mots clés de référence.,1.0,1.0,0.25,1.0,8,6,0.15760649999720044,2.7799660000018775,5.3729385000042384,5.372985499998322,
24,24,robustesse,test_24,Coment réinitialiser le mot de passe ?,True,True,True,02_faq_problemes_courants.md,02_faq_problemes_courants.md | 08_troubleshooting_guide.md | 01_guide_installation_smartconnect.md | 02_faq_problemes_courants.md | 03_documentation_api.md | 08_troubleshooting_guide.md,1.0,1.0,1.0,1.0,1.0,5.0,8.22555149999971,,"La réponse est pertinente, correcte et supportée par le contexte fourni. Elle répond directement et précisément à la question et les documents récupérés sont utiles pour répondre.",1.0,1.0,0.25,1.0,8,6,0.18687480001244694,6.420542899999418,8.935903599995072,8.935926599995582,
25,25,hors_sujet,test_25,Quel temps fait-il aujourd'hui ?,False,False,True,,,1.0,0.0,0.0,0.0,0.0,0.0,5.243621400004486,,La réponse ne répond pas à la question et ne respecte pas l'expected_behavior ni l'utilisation de clés de réponse appropriées.,,,,,0,0,0.0,0.0,2.116492599991034,2.1165141999954358,
